Method,Average_Reward,Success_Rate,Energy_Efficiency,Avg_Energy,Avg_Throughput,Throughput_Efficiency
Direct Transmission,0.32508251174688235,0.15496000000000001,0.15496000000000001,5.0,0.17427128423273364,0.17427128423273364
Greedy Strategy,0.3893609950084347,0.20002800000000004,0.16122866080154935,6.331129999999999,0.19547177514930478,0.15727435324919362
Frequency Hopping,0.06157358,0.05948,0.23792,1.25,0.0664313795065425,0.26572551802617
MADDPG + JM,0.31594334641673605,0.15456,0.17196978748588518,4.551302710026069,0.16136188522585504,0.1794374699874073
