Method,Average_Reward,Success_Rate,Energy_Efficiency,Avg_Energy,Avg_Throughput,Throughput_Efficiency
Direct Transmission,0.38909377205741746,0.19684000000000001,0.19684000000000001,5.0,0.18667256135076804,0.18667256135076804
Greedy Strategy,0.3681571115997979,0.190092,0.15478740308842948,6.240999999999999,0.18495463278327212,0.15018024677505595
Frequency Hopping,0.06222958,0.0,0.0,0.0,0.0,0.0
MADDPG + JM,0.38840519227628867,0.18866,0.16850818934925735,5.65599,0.20259294699211566,0.18106103274142155
