Method,Average_Reward,Success_Rate,Energy_Efficiency,Avg_Energy,Avg_Throughput,Throughput_Efficiency
Direct Transmission,0.3590976572306179,0.17627999999999996,0.17627999999999996,5.0,0.18239621075502715,0.18239621075502715
Greedy Strategy,0.39307556889895623,0.19709600000000002,0.16007132286833126,6.271020000000001,0.20191683561516513,0.1640978567879378
Frequency Hopping,0.064184226,0.062504,0.250016,1.25,0.06868413809815857,0.2747365523926343
MADDPG + JM,0.331690786097381,0.16154800000000002,0.17920927348560436,4.570241768763257,0.16883549387137065,0.18736939125175728
